Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,54200,2,-1400,-2.52,54700,55200,54000,20215230,1099985271050,323562214210000,5969782550,STK
000660,KR7000660001,SK하이닉스,KOSPI,,184000,1,4700,2.62,183000,184500,182100,3188910,586093517788,133952435160000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,382500,2,-15500,-3.89,398500,405000,378500,392455,150963923500,89505000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,974000,2,-25000,-2.5,997000,999000,973000,60499,59423865000,69323476000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,206500,2,-4500,-2.13,210000,212500,205500,715553,148691222000,43244443441500,209416191,STK
068270,KR7068270008,셀트리온,KOSPI,,193200,2,-3000,-1.53,196000,196000,192000,1010402,195379022100,41939576632800,217078554,STK
000270,KR7000270009,기아,KOSPI,,95700,1,400,0.42,95400,97200,95400,1015342,97681786300,38057270882400,397672632,STK
005935,KR7005931001,삼성전자우,KOSPI,,44700,2,-1850,-3.97,45800,46050,44700,2268814,102163316000,36783035490000,822886700,STK
105560,KR7105560007,KB금융,KOSPI,,84400,2,-200,-0.24,83900,85800,83700,1655078,140215958300,33213798901200,393528423,STK
035420,KR7035420009,NAVER,KOSPI,,209500,2,-4500,-2.1,214500,215000,209000,895923,189628065554,33192553176000,158437008,STK
055550,KR7055550008,신한지주,KOSPI,,48650,2,-850,-1.72,49400,49650,48500,1626674,79609053150,24492615061250,503445325,STK
010130,KR7010130003,고려아연,KOSPI,,1112000,2,-54000,-4.63,1167000,1195000,1100000,51803,59228921000,23022050696000,20703283,STK
012330,KR7012330007,현대모비스,KOSPI,,239500,1,2000,0.84,237000,239500,235500,175405,41733373500,22272325013000,92995094,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,264000,2,-6500,-2.4,271000,271500,262000,569889,150759149500,21812835528000,82624377,STK
329180,KR7329180004,HD현대중공업,KOSPI,,239500,3,0,0.0,240500,246000,235000,198698,47904208500,21261161282000,88773116,STK
028260,KR7028260008,삼성물산,KOSPI,,116400,2,-1000,-0.85,117400,118000,116200,202903,23693788000,20694070054800,177784107,STK
032830,KR7032830002,삼성생명,KOSPI,,98700,1,500,0.51,98400,100300,96700,461074,45391998050,19740000000000,200000000,STK
035720,KR7035720002,카카오,KOSPI,,42850,2,-1100,-2.5,43650,44250,42700,2019873,87532399550,19006695160850,443563481,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,97300,2,-1100,-1.12,98900,100000,96900,344387,33741607400,18557067092200,190720114,STK
